UMIS number,studentID,name,dob,district,block,college_name,degree,department,year_of_passing,cgpa,skills,swayam_course,naan_mudhalvan_course,certifications,internships,extra_curricular_activities,sports,predicted_academic_job_role,predicted_skill_job_role,mobile_number,email_id
1283681483,TN-STU-2023-02278,Uma L.,2008-02-19,Chennai,Egmore,"Ethiraj College for Women (Autonomous), Egmore",B.Com,Commerce,2025,9.6,"GST Filing, Financial Reporting, Banking Operations, Taxation",Investment Management,NONE,CA Intermediate,Share Broking Firm,Entrepreneurship Cell,Kho-Kho,Junior Accountant,Certified Senior Banking Associate,9925796097,uma.1483@smart.edu
7320771839,TN-STU-2022-02279,Alagu A.,2008-11-03,Nilgiris,Coonoor,"St. Joseph's College of Education, Ooty",M.A.,English,2023,6.7,"Public Speaking, Linguistics, IELTS Coaching, SEO Writing, Phonetics, Copywriting, Literature Analysis",Modern Linguistics,Soft Skills,NONE,Digital Marketing Agency,Literary Society,Football,Trainee Editorial Assistant,Certified Senior Copywriter,9499750302,alagu.1839@smart.edu
2720779013,TN-STU-2021-02280,Rishi Kamaraj,2003-07-06,Madurai,Madurai City,Madurai Kamaraj University,M.A.,English,2024,7.9,"Proofreading, Public Speaking, Literature Analysis, SEO Writing, Copywriting",British Literature,Content Writing,HubSpot Content Marketing,Schools,NONE,Football,Junior Content Writer,Certified Senior Copywriter,9774495256,rishi.9013@smart.edu
3877869859,TN-STU-2022-02281,Kirubakaran Balan,2006-03-31,Chennai,Sholinganallur,School of Architecture and Planning (SAP) - Guindy,B.Sc.,Nursing,2023,9.1,"Medical Terminology, Anatomy, Surgical Assistance, Medication Administration, Patient Care, ICU Management, Vital Signs Monitoring",NONE,Clinical Documentation,Intensive Care Cert,NONE,NONE,Volleyball,Junior Community Health Worker,Certified Senior Certified Nurse,9344027026,kirubakaran.9859@smart.edu
5025190774,TN-STU-2023-02282,Selvi Rathinam,2005-10-24,Tiruvannamalai,Tiruvannamalai,"Government Arts College, Tiruvannamalai",M.Com,Commerce,2023,7.8,"Banking Operations, Cost Accounting, Financial Reporting, GST Filing, Accounting",Corporate Finance,NONE,NONE,CA Firms,NSS,Cricket,Junior Audit Assistant,Certified Senior Banking Associate,9300175153,selvi.0774@smart.edu
8373803828,TN-STU-2021-02283,Omprakash Ganesan,2002-04-26,Tiruvannamalai,Cheyyar,"Indo-American College, Cheyyar",M.E.,Biomedical Engineering,2026,8.8,"Clinical Trials Support, Biomechanics, Anatomy Knowledge, Signal Processing, MATLAB, Medical Device Design, Product Testing",NONE,NONE,NONE,Apollo Hospitals,NONE,NONE,Junior Biomedical Engineer,Certified Senior Biomedical Tech Associate,9367231576,omprakash.3828@smart.edu
7423156991,TN-STU-2022-02284,Ashwini Krishnan,2000-05-10,Thiruvarur,Nannilam,Alagappa University,M.A.,English,2025,8.8,"SEO Writing, Public Speaking, Linguistics, Literature Analysis, IELTS Coaching, Copywriting, Phonetics",NONE,Content Writing,HubSpot Content Marketing,NONE,Debate,Tennis,Junior Communications Associate,Certified Senior Copywriter,9611976870,ashwini.6991@smart.edu
5600924309,TN-STU-2021-02285,Preethi B.,2000-03-01,Madurai,Madurai Central,"Ultra College of Engineering and Technology, Madurai",MBA,Business Administration,2024,8.2,"Operations Planning, Marketing Research, CRM, HR Management, Business Analytics, Strategic Planning, Leadership",NONE,Digital Marketing,HR Generalist,Tech Startups,Marketing Club,Badminton,Junior Management Trainee,Certified Senior Business Development Associate,9855687032,preethi.4309@smart.edu
5744244741,TN-STU-2023-02286,Chaitra Narasimhan,2002-03-28,Tirunelveli,Tirunelveli,"Sankar Polytechnic College, Sankar Nagar",M.Sc.,Nursing,2025,6.9,"Medical Terminology, Emergency Response, Anatomy, Surgical Assistance, Medication Administration, ICU Management",Anatomy & Physiology,Healthcare Management,NONE,NONE,Blood Donation,Athletics,Trainee Pediatric Nurse,Certified Senior Certified Nurse,9417430365,chaitra.4741@smart.edu
5515248140,TN-STU-2020-02287,Vignesh H.,1999-01-15,Coimbatore,Kinathukadavu,PSG Institute of Management,M.A.,Tamil,2023,8.9,"Research Writing, Grammar, Creative Writing, Tamil Literature",NONE,Tamil Computing,E-Publishing,NONE,NSS,Athletics,Junior Content Developer,Certified Senior Digital Editor,9937757298,vignesh.8140@smart.edu
6290852679,TN-STU-2021-02288,Damini Yuvraj,2003-03-12,Dindigul,Natham,"N.P.R. College of Engineering and Technology, Natham",B.A.,Tamil,2024,6.7,"Journalism, Public Speaking, Editing, Translation, Creative Writing, Tamil Literature, Grammar",Epigraphy,NONE,Tamil Pandit Certification,Content Studio,Cultural Events,Kabaddi,Trainee Language Expert,Certified Senior Digital Editor,9713286081,damini.2679@smart.edu
9508049153,TN-STU-2022-02289,Palanisamy Suresh,2002-01-21,Chennai,Egmore,"Government Dental College, Park Town",B.A.LL.B.,Law,2026,7.6,"IPC/CrPC Knowledge, Legal Research, Contract Negotiation, Intellectual Property, Legal Writing, Corporate Law, Legal Drafting",Constitutional Law,NONE,NONE,Human Rights NGOs,Debate,Football,Junior Junior Advocate,Certified Senior Corporate Lawyer,9556357828,palanisamy.9153@smart.edu
8685741425,TN-STU-2021-02290,Ashwini Devadass,2001-09-30,Virudhunagar,Virudhunagar,S.R.V. College of Education,B.E.,Electronics & Communication,2026,8.0,"IoT, Signal Processing, PCB Design",VLSI Design,NONE,Embedded C,BSNL,Ham Radio,NONE,Junior Embedded Systems Engineer,Certified Senior Embedded Developer,9385822510,ashwini.1425@smart.edu
4421272798,TN-STU-2022-02291,Mugilan U.,2000-12-30,Viluppuram,Vikravandi,Sri Rangapoopathi College of Education,B.A.LL.B.,Law,2025,7.3,"Legal Research, Legal Drafting, Contract Negotiation",Cyber Laws,Legal Analytics,Arbitration Certification,NONE,Debate,Badminton,Junior Junior Advocate,Certified Senior Corporate Lawyer,9623456202,mugilan.2798@smart.edu
3432717775,TN-STU-2023-02292,Ramya D.,2004-06-16,Viluppuram,Villupuram,Paulson Teacher Training College,M.E.,Mechanical Engineering,2026,6.2,"MATLAB, Lean Manufacturing, Thermodynamics",NONE,NONE,Lean Manufacturing,NONE,NONE,Athletics,Trainee Production Engineer,Certified Senior CAD Design Specialist,9818454849,ramya.7775@smart.edu
1246332700,TN-STU-2020-02293,Sneha Jayaraman,1999-09-19,Tiruppur,Kangayam,"Sasurie College of Engineering, Vijayamangalam",MBA,Business Administration,2024,9.7,"Leadership, Strategic Planning, HR Management, Operations Planning",Strategic Management,Digital Marketing,Digital Marketing Expert,Consumer Goods Companies,YRC,Badminton,Junior HR Executive,Certified Senior Business Development Associate,9367165964,sneha.2700@smart.edu
4444084557,TN-STU-2023-02294,Jai Ramasamy,2006-04-28,Thiruvarur,Nannilam,Annamalai University,M.A.,Tamil,2026,9.5,"Research Writing, Tamil Literature, Grammar, Editing, Creative Writing",Classical Tamil,Tamil Computing,NONE,NONE,Cultural Events,Badminton,Junior Content Developer,Certified Senior Digital Editor,9596804672,jai.4557@smart.edu
2063570209,TN-STU-2023-02295,Tamilselvan Sekar,1999-08-17,Chennai,Sholinganallur,"CIT (Central Institute of Technology), Taramani",M.E.,Civil Engineering,2026,6.4,"AutoCAD, Structural Analysis, Surveying, Project Management, Soil Testing, STAAD Pro",Construction Management,NONE,Green Building (LEED),NONE,Construction Challenge,Kabaddi,Trainee Structural Engineer,Certified Senior BIM Associate,9461119697,tamilselvan.0209@smart.edu
4213627149,TN-STU-2022-02296,Bharathy Thangam,2001-03-23,Salem,Sankari,"AVS Engineering College, Ammapet",B.Sc.,Psychology,2026,8.9,"Psychometrics, Counseling, Child Psychology",Counseling Theories,Addiction Counselling,CBT Practitioner,NGOs,YRC,Badminton,Junior Behavioral Analyst,Certified Senior Certified Counselor,9564404233,bharathy.7149@smart.edu
8162064448,TN-STU-2022-02297,Vijay Krishnan,2008-01-25,Sivaganga,Karaikudi,"Alagappa Polytechnic College, Karaikudi",M.F.A.,Fine Arts,2023,6.5,"Painting, Photography, Digital Illustration, Portfolio Building, Sculpture, Graphic Design, Ceramics",NONE,Event Design,Graphic Design Cert,NONE,Art Exhibition,Yoga,Trainee Illustrator,Certified Senior Animation Artist,9255543301,vijay.4448@smart.edu
2446481770,TN-STU-2021-02298,Mythili Jagadeesan,2002-11-24,Thiruvallur,Avadi,TA PAS College,M.A.,English,2024,9.7,"IELTS Coaching, Proofreading, Phonetics",Modern Linguistics,Soft Skills,TESOL,NONE,Literary Society,Tennis,Junior Communications Associate,Certified Senior Copywriter,9848080804,mythili.1770@smart.edu
9893541353,TN-STU-2023-02299,Ishani Karthik,2002-09-15,Tiruchirappalli,Tiruchirappalli (East),"Child Jesus College of Nursing, Trichy",MBA,Business Administration,2026,8.3,"Operations Planning, HR Management, CRM, Business Analytics, Strategic Planning, Leadership",NONE,Digital Marketing,PMP Foundation,Consumer Goods Companies,B-Plan Competitions,Table Tennis,Junior Management Trainee,Certified Senior Business Development Associate,9130880238,ishani.1353@smart.edu
8142068942,TN-STU-2020-02300,Laksman Loganathan,2004-10-05,Chengalpattu,Pallavaram,Prince Shri Venkateshwara Padmavathy Engineering College,M.E.,Mechanical Engineering,2024,8.5,"Quality Control, Lean Manufacturing, MATLAB",NONE,CAD/CAM,Lean Manufacturing,Manufacturing Plants,NONE,Athletics,Junior Design Engineer,Certified Senior CAD Design Specialist,9381818151,laksman.8942@smart.edu
5390015581,TN-STU-2022-02301,Hari Krishnan,2003-09-05,Virudhunagar,Aruppukkottai,Sethu Institute of Technology (Kariapatti),B.A.LL.B.,Law,2023,7.1,"Legal Writing, Corporate Law, Legal Research, IPC/CrPC Knowledge",Cyber Laws,NONE,Cyber Law Cert,NONE,Moot Court,Badminton,Junior Junior Advocate,Certified Senior Corporate Lawyer,9965668974,hari.5581@smart.edu
1153131383,TN-STU-2021-02302,Bama P.,2004-01-28,Chennai,Virugampakkam,Sriram Polytechnic College (Proposed branch area),B.E.,Computer Science,2024,9.0,"Node.js, SQL, DSA, React, Flutter",NONE,Cyber Security Analyst,NONE,Tech Startups,NONE,NONE,Junior Data Analyst,Certified Senior Cloud Engineer,9737588337,bama.1383@smart.edu
2116818002,TN-STU-2023-02303,Sathish G.,2008-03-25,Salem,Gangavalli,"Periyar University Constituent College of Arts and Science, Idappadi",B.Sc.,Psychology,2024,8.5,"Mental Health Assessment, Child Psychology, Behavioral Analysis, Counseling, Report Writing, Social Work, Psychometrics",NONE,Counselling Practices,NONE,NONE,Awareness Camps,Kho-Kho,Junior Behavioral Analyst,Certified Senior Certified Counselor,9189083479,sathish.8002@smart.edu
4226214422,TN-STU-2020-02304,Mohana Prabhu,2001-12-12,Chennai,Chepauk-Thiruvallikeni,"Lady Willingdon Institute of Advanced Study in Education, Triplicane",B.A.,English,2026,7.1,"Phonetics, SEO Writing, IELTS Coaching, Public Speaking, Copywriting, Linguistics",British Literature,Professional Communication,NONE,Corporate Training,Literary Society,Football,Junior Content Writer,Certified Senior Copywriter,9919686921,mohana.4422@smart.edu
3080373787,TN-STU-2021-02305,Ahila Sekar,2000-08-27,Tiruvannamalai,Tiruvannamalai,"SKP Engineering College, Tiruvannamalai",B.Sc.,Data Science,2024,8.0,"Python, Machine Learning, Data Analysis, SQL, Pandas, NumPy",NONE,Cyber Security Analyst,NONE,NONE,Coding Clubs,NONE,Data Scientist,Junior Data Science Specialist,9949975371,ahila.3787@smart.edu
1414905231,TN-STU-2023-02306,Laksman Arumugam,2002-10-17,Viluppuram,Tindivanam,Surya Group of Institutions,B.Tech,Artificial Intelligence,2026,7.1,"Deep Learning, PyTorch, TensorFlow, Computer Vision, NLP",NONE,Data Analytics with Python,Azure Fundamentals,NONE,Hackathons,Chess,AI Engineer,Junior Artificial Intelligence Specialist,9437777325,laksman.5231@smart.edu
4624239833,TN-STU-2023-02307,Bama H.,2003-06-07,Madurai,Madurai Central,"S.Vellaichamy Nadar College, Madurai",B.Sc.,Agriculture,2023,9.2,"Agribusiness, Soil Science, Organic Farming",Soil Health,Post Harvest Management,Soil Testing Cert,Government Agriculture Dept,NONE,Kabaddi,Junior Agri Extension Officer,Certified Senior Agri-Business Advisor,9471242415,bama.9833@smart.edu
7011300728,TN-STU-2022-02308,Akash Thirunavukkarasu,2008-08-25,Kallakurichi,Kallakurichi,"Bharathi College of Education, Kallakurichi",B.Tech,Mechanical Engineering,2025,6.4,"MATLAB, Quality Control, Thermodynamics, Manufacturing Processes, CNC Programming, Lean Manufacturing",NONE,NONE,AutoCAD Certified,NONE,NCC,Athletics,Trainee Production Engineer,Certified Senior CAD Design Specialist,9871820018,akash.0728@smart.edu
9853826234,TN-STU-2021-02309,Thirumalai Balaji,2000-07-18,Sivaganga,Sivaganga,"Government Sivaganga Medical College - College of Nursing, Sivaganga",B.Tech,Mechanical Engineering,2025,6.6,"Thermodynamics, MATLAB, Quality Control, AutoCAD, Manufacturing Processes",Robotics,NONE,CREO Designer,Ashok Leyland,Make in India Hackathon,NONE,Trainee Production Engineer,Certified Senior CAD Design Specialist,9656116049,thirumalai.6234@smart.edu
2846085277,TN-STU-2020-02310,Jagan V.,2004-07-30,Virudhunagar,Tiruchuli,Arulmigu Kalasalingam College of Education,M.A.,English,2024,7.1,"Copywriting, IELTS Coaching, SEO Writing, Phonetics",Modern Linguistics,NONE,TEFL,NONE,NONE,Football,Junior Content Writer,Certified Senior Copywriter,9140478742,jagan.5277@smart.edu
6293867361,TN-STU-2023-02311,Sathish Balaji,2001-04-15,Nilgiris,Coonoor,"Providence College for Women, Coonoor",BBA,Business Administration,2023,7.1,"CRM, Strategic Planning, HR Management, Supply Chain, Operations Planning, Marketing Research, Leadership",Strategic Management,Digital Marketing,PMP Foundation,Tech Startups,B-Plan Competitions,Badminton,Junior Management Trainee,Certified Senior Business Development Associate,9276788668,sathish.7361@smart.edu
6229499228,TN-STU-2023-02312,Deepan A.,2007-03-17,Krishnagiri,Bargur,"Government College of Engineering, Bargur",B.Sc.,Nursing,2026,6.4,"Emergency Response, ICU Management, Vital Signs Monitoring, Anatomy, Surgical Assistance, Medical Terminology, Medication Administration",NONE,Medical Coding,NONE,Community Health Centres,Health Awareness,Athletics,Trainee Pediatric Nurse,Certified Senior Certified Nurse,9542224469,deepan.9228@smart.edu
6685019591,TN-STU-2020-02313,Siva Ganesan,2004-06-08,Pudukkottai,Aranthangi,"Kings College of Engineering, Punalkulam",BBA,Business Administration,2023,8.5,"Operations Planning, Strategic Planning, CRM, Supply Chain, Business Analytics, HR Management, Marketing Research",Strategic Management,NONE,HR Generalist,HR Firms,YRC,Cricket,Junior HR Executive,Certified Senior Business Development Associate,9130732524,siva.9591@smart.edu
5174090416,TN-STU-2023-02314,Thendral Kandasamy,2007-05-04,Tiruchirappalli,Tiruchirappalli (East),"Bishop Heber College (Autonomous), Trichy",M.E.,Civil Engineering,2024,6.6,"Project Management, Site Supervision, Soil Testing, Surveying, Structural Analysis",Building Materials,Building Information Modelling,AutoCAD Civil 3D,NONE,Green Campus Initiative,Cricket,Trainee Structural Engineer,Certified Senior BIM Associate,9310867039,thendral.0416@smart.edu
2657985313,TN-STU-2023-02315,Mutharasan I.,2000-02-16,Perambalur,Kunnam,"Government Arts and Science College, Veppanthattai",M.F.A.,Fine Arts,2024,7.4,"Painting, Photography, Ceramics, Sculpture, Portfolio Building, Art History",Art Appreciation,Graphic Design Tools,Graphic Design Cert,NONE,Photography Club,Kho-Kho,Junior Graphic Designer,Certified Senior Animation Artist,9184266472,mutharasan.5313@smart.edu
8964696649,TN-STU-2021-02316,Selvi Ethiraj,2008-01-09,Tirunelveli,Palayamkottai,"Nehru Nursing College, Vallioor",M.A.,Tamil,2025,6.0,"Editing, Creative Writing, Translation, Public Speaking, Journalism, Tamil Literature",History of Tamil Literature,Translation Skills,Tamil Pandit Certification,NONE,NSS,Chess,Trainee Language Expert,Certified Senior Digital Editor,9356571463,selvi.6649@smart.edu
5199341441,TN-STU-2023-02317,Hasini N.,2008-12-19,Nilgiris,Udhagamandalam,"CSI College of Engineering, Ketti",M.E.,Mechanical Engineering,2026,7.6,"CNC Programming, AutoCAD, Lean Manufacturing, MATLAB, SolidWorks, Manufacturing Processes",Fluid Mechanics,EV Technology,Six Sigma Yellow Belt,BHEL,NCC,Kabaddi,Junior Maintenance Engineer,Certified Senior CAD Design Specialist,9794606556,hasini.1441@smart.edu
5736519587,TN-STU-2020-02318,Bala V.,2002-04-23,Kanniyakumari,Killiyoor,Sri Ramachandra University,M.Sc.,Nursing,2023,7.4,"Vital Signs Monitoring, Emergency Response, ICU Management, Anatomy, Surgical Assistance, Medication Administration, Medical Terminology",Medical Microbiology,Clinical Documentation,NONE,NONE,First Aid Camp,NONE,Junior ICU Nurse,Certified Senior Certified Nurse,9344341655,bala.9587@smart.edu
5851289080,TN-STU-2020-02319,Ezhil Eswaran,2005-11-30,Virudhunagar,Sattur,AAA College of Engineering and Technology,M.Sc.,Psychology,2023,7.3,"Psychometrics, Report Writing, Behavioral Analysis, Child Psychology, Social Work, Counseling, Group Therapy Facilitation",Developmental Psychology,Emotional Intelligence,NONE,NONE,YRC,Kho-Kho,Junior Psychological Counselor,Certified Senior Certified Counselor,9477130092,ezhil.9080@smart.edu
8177508767,TN-STU-2020-02320,Sathan Manickam,2008-10-09,Viluppuram,Vikravandi,Mailam Engineering College,B.Tech,Biomedical Engineering,2024,9.2,"Product Testing, Anatomy Knowledge, AutoCAD, Clinical Trials Support, Signal Processing",Medical Imaging,Bioelectronics,NONE,NONE,Robotics,Table Tennis,Junior Biomedical Engineer,Certified Senior Biomedical Tech Associate,9601005033,sathan.8767@smart.edu
7102863369,TN-STU-2021-02321,Ashwini Udhayam,2004-08-20,Salem,Salem (South),"Jairam Arts and Science College, Salem",M.Tech,Artificial Intelligence,2023,8.7,"Deep Learning, PyTorch, TensorFlow, Computer Vision, NLP",Cloud Computing Foundation,NONE,Google Data Analytics,Local Tech Solutions,Hackathons,Table Tennis,Deep Learning Architect,Junior Artificial Intelligence Specialist,9699272134,ashwini.3369@smart.edu
7937813214,TN-STU-2021-02322,Ananya Devadass,2005-10-21,Chengalpattu,Chengalpattu,St. Joseph's College of Engineering,B.E.,Civil Engineering,2026,6.9,"Project Management, Structural Analysis, Soil Testing, Quantity Estimation, AutoCAD, Site Supervision, Surveying",NONE,NONE,Project Management Basics,Government PWD,ASCE Chapter,Kabaddi,Trainee Structural Engineer,Certified Senior BIM Associate,9788710223,ananya.3214@smart.edu
5600888364,TN-STU-2022-02323,Ishwarya V.,2002-06-23,Chengalpattu,Pallavaram,Karpaga Vinayaga College of Nursing,B.Tech,Mechanical Engineering,2026,8.4,"CNC Programming, SolidWorks, MATLAB, Manufacturing Processes",Engineering Design,EV Technology,AutoCAD Certified,SMEs,SAE Collegiate Club,Kabaddi,Junior Maintenance Engineer,Certified Senior CAD Design Specialist,9646636907,ishwarya.8364@smart.edu
8261621776,TN-STU-2020-02324,Pranesh Murugesan,2001-04-03,Thiruvallur,Avadi,DG Vaishnav College,M.Com,Commerce,2026,7.4,"Cost Accounting, Banking Operations, Financial Reporting",Banking & Insurance,NONE,NONE,Retail Finance,Finance Club,Cricket,Junior Audit Assistant,Certified Senior Banking Associate,9173602724,pranesh.1776@smart.edu
5415909258,TN-STU-2022-02325,Bama U.,2007-08-06,Chengalpattu,Madurantakam,"Hindustan Institute of Technology and Science (HITS), Padur",B.Tech,Civil Engineering,2024,7.4,"Quantity Estimation, AutoCAD, Structural Analysis, Soil Testing, Project Management",Building Materials,NONE,NONE,L&T Construction,Green Campus Initiative,Cricket,Junior Site Engineer,Certified Senior BIM Associate,9549799213,bama.9258@smart.edu
1650881893,TN-STU-2020-02326,Umadevi D.,2005-08-03,Cuddalore,Virudhachalam,"Government Arts College, Virudhachalam",M.E.,Biomedical Engineering,2024,9.9,"Medical Device Design, Signal Processing, Clinical Trials Support",NONE,Bioelectronics,CBET Preparation,Apollo Hospitals,IEEE EMBS,Chess,Junior Biomedical Engineer,Certified Senior Biomedical Tech Associate,9416435618,umadevi.1893@smart.edu
3457537178,TN-STU-2022-02327,Divya Subramanian,2003-02-25,Theni,Andipatti,"Annai Polytechnic College, Veerapandi (Theni)",B.Tech,Artificial Intelligence,2024,9.9,"Deep Learning, PyTorch, TensorFlow, Computer Vision, NLP",Data Structures,Data Analytics with Python,NONE,NONE,IEEE,Chess,AI Engineer,Junior Artificial Intelligence Specialist,9378282287,divya.7178@smart.edu
2217850964,TN-STU-2023-02328,Bhuvaneswari Thirunavukkarasu,2001-08-07,Coimbatore,Valparai,Karunya Institute of Technology and Sciences,LL.B.,Law,2026,8.1,"Legal Research, Litigation Support, Intellectual Property",Environmental Law,NONE,Arbitration Certification,High Court Chambers,NONE,Cricket,Junior Junior Advocate,Certified Senior Corporate Lawyer,9333722624,bhuvaneswari.0964@smart.edu
1176706099,TN-STU-2023-02329,Damini A.,2007-11-29,Erode,Bhavanisagar,"Government Arts and Science College, Sathyamangalam",M.Sc.,Psychology,2025,9.7,"Mental Health Assessment, Behavioral Analysis, Psychometrics",NONE,NONE,CBT Practitioner,Schools,Awareness Camps,Kho-Kho,Junior Behavioral Analyst,Certified Senior Certified Counselor,9525694093,damini.6099@smart.edu
5212448342,TN-STU-2021-02330,Kamali J.,2002-03-12,Dharmapuri,Dharmapuri,"Om Sakthi College of Nursing, Dharmapuri",B.E.,Civil Engineering,2023,8.9,"Structural Analysis, Quantity Estimation, AutoCAD",NONE,NONE,AutoCAD Civil 3D,L&T Construction,Green Campus Initiative,Cricket,Junior Project Coordinator,Certified Senior BIM Associate,9248936648,kamali.8342@smart.edu
1943783221,TN-STU-2023-02331,Vishva Iyyappan,2004-03-04,Thoothukudi,Srivaikuntam,"Sri K.G.S. Arts College, Srivaikuntam",B.A.LL.B.,Law,2023,6.1,"Legal Research, Litigation Support, Contract Negotiation, IPC/CrPC Knowledge, Intellectual Property, Legal Drafting, Corporate Law",Constitutional Law,NONE,Arbitration Certification,NONE,Legal Aid Club,Football,Trainee Legal Consultant,Certified Senior Corporate Lawyer,9559398156,vishva.3221@smart.edu
8655080231,TN-STU-2023-02332,Zuban Mani,2002-06-22,Cuddalore,Chidambaram,"Government Arts College, Chidambaram",M.E.,Mechanical Engineering,2024,8.2,"MATLAB, Quality Control, SolidWorks, CNC Programming, Thermodynamics",Robotics,NONE,NONE,NONE,NCC,Football,Junior Maintenance Engineer,Certified Senior CAD Design Specialist,9412500758,zuban.0231@smart.edu
8311709805,TN-STU-2021-02333,Waseem P.,1999-08-24,Tiruvannamalai,Cheyyar,"Government Polytechnic College, Cheyyar",M.Sc.,Psychology,2023,7.6,"Counseling, Social Work, Report Writing, Group Therapy Facilitation, Psychometrics",NONE,Emotional Intelligence,NONE,NONE,Peer Counseling,Kho-Kho,Junior Psychological Counselor,Certified Senior Certified Counselor,9688998925,waseem.9805@smart.edu
3644470213,TN-STU-2022-02334,Tharani Umapathi,2001-08-22,Erode,Erode (East),"Erode Arts and Science College (Autonomous), Erode",M.Com,Commerce,2026,7.4,"GST Filing, Auditing, Taxation, Cost Accounting",Banking & Insurance,Stock Market Analysis,Tally Prime Certified,Share Broking Firm,NONE,Cricket,Junior Audit Assistant,Certified Senior Banking Associate,9477427090,tharani.0213@smart.edu
7770939851,TN-STU-2023-02335,Logu T.,2004-11-04,Chennai,Egmore,"Madras Veterinary College (TANUVAS), Vepery",M.Sc.,Agriculture,2025,8.1,"Crop Science, Greenhouse Management, Remote Sensing, Organic Farming",NONE,NONE,NONE,NONE,NSS,Cricket,Junior Agriculture Officer,Certified Senior Agri-Business Advisor,9153298112,logu.9851@smart.edu
8942331330,TN-STU-2023-02336,Nisha O.,2005-09-01,Sivaganga,Sivaganga,"St. Michael College of Engineering and Technology, Kalayarkoil",M.Sc.,Psychology,2023,8.3,"Report Writing, Counseling, Child Psychology",NONE,Emotional Intelligence,CBT Practitioner,Hospitals,YRC,Kho-Kho,Junior Psychological Counselor,Certified Senior Certified Counselor,9625741112,nisha.1330@smart.edu
1234725635,TN-STU-2022-02337,Loganathan Gunaseelan,2007-09-20,Salem,Sankari,"AVS Engineering College, Ammapet",B.Sc.,Nursing,2023,7.3,"Patient Care, Anatomy, Surgical Assistance, Vital Signs Monitoring",NONE,Medical Coding,BLS/ACLS Certified,NONE,NCC,Athletics,Junior ICU Nurse,Certified Senior Certified Nurse,9272000934,loganathan.5635@smart.edu
5240279435,TN-STU-2023-02338,Yavan Sundar,2000-12-06,Kancheepuram,Kancheepuram,SASTRA University,B.Tech,Biomedical Engineering,2025,6.7,"Product Testing, Signal Processing, MATLAB, Medical Device Design",NONE,Medical Device Regulation,AutoCAD Certified,NONE,NCC,Table Tennis,Trainee Medical Device Tester,Certified Senior Biomedical Tech Associate,9585113365,yavan.9435@smart.edu
5975121667,TN-STU-2020-02339,Yazhini Velu,2004-03-27,Tirunelveli,Tirunelveli,"Rose Mary College of Arts and Science, Tirunelveli",BBA,Business Administration,2023,7.0,"Strategic Planning, Leadership, HR Management, Marketing Research, CRM, Business Analytics",Marketing Research,CRM Specialist,NONE,NONE,Marketing Club,NONE,Junior Management Trainee,Certified Senior Business Development Associate,9984523484,yazhini.1667@smart.edu
9426536418,TN-STU-2022-02340,Kiruthika Mani,2003-06-18,Madurai,Madurai Central,"Yadava College, Madurai",B.Com,Commerce,2025,9.8,"Auditing, Banking Operations, Tally ERP",Corporate Finance,Stock Market Analysis,CPA Foundation,Share Broking Firm,Entrepreneurship Cell,Kabaddi,Junior Accountant,Certified Senior Banking Associate,9209662095,kiruthika.6418@smart.edu
6048193674,TN-STU-2023-02341,Thirumalai Anbazhagan,2002-04-11,Cuddalore,Cuddalore,"Kandaswami Naidu College for Women, Cuddalore",LL.B.,Law,2025,9.1,"Contract Negotiation, IPC/CrPC Knowledge, Corporate Law, Intellectual Property, Legal Drafting, Litigation Support",NONE,ADR Mechanisms,IP Law Cert,High Court Chambers,NONE,Football,Junior Corporate Legal Associate,Certified Senior Corporate Lawyer,9863725766,thirumalai.3674@smart.edu
6997113511,TN-STU-2023-02342,Kausalya Vijaykumar,2002-02-21,Tiruvannamalai,Tiruvannamalai,"Grace College of Education, Tiruvannamalai",M.Sc.,Agriculture,2023,8.0,"Irrigation Management, Remote Sensing, Greenhouse Management, Agribusiness, Pest Management, Crop Science, Soil Science",Precision Agriculture,Post Harvest Management,Drone Operator License,NGOs,NONE,Athletics,Junior Agriculture Officer,Certified Senior Agri-Business Advisor,9838048214,kausalya.3511@smart.edu
3342728073,TN-STU-2022-02343,Chaitra Velu,2006-09-21,Thoothukudi,Thoothukkudi,"Kamaraj College, Thoothukudi",M.E.,Mechanical Engineering,2026,7.4,"Manufacturing Processes, CNC Programming, MATLAB, AutoCAD, Quality Control, Lean Manufacturing, SolidWorks",Robotics,Green Manufacturing,CREO Designer,BHEL,Robotics,Cricket,Junior Maintenance Engineer,Certified Senior CAD Design Specialist,9813394781,chaitra.8073@smart.edu
6070274246,TN-STU-2021-02344,Devi Suresh,2000-03-26,Pudukkottai,Gandarvakottai,"Sudharsan Engineering College, Sathiyamangalam",B.E.,Civil Engineering,2024,9.7,"STAAD Pro, Project Management, Surveying, Site Supervision, Quantity Estimation",Environmental Engineering,Building Information Modelling,Project Management Basics,NONE,ASCE Chapter,Kabaddi,Junior Project Coordinator,Certified Senior BIM Associate,9518387905,devi.4246@smart.edu
5688431392,TN-STU-2020-02345,Narendra S.,2000-06-22,Chennai,Madavaram,Alagappa College of Technology (AC Tech) - Guindy,B.Tech,Biomedical Engineering,2025,9.5,"MATLAB, Anatomy Knowledge, Clinical Trials Support, Biomechanics, Signal Processing, Product Testing, Medical Device Design",Biomaterials,NONE,NONE,Medical Device Startups,NONE,NONE,Junior Biomedical Engineer,Certified Senior Biomedical Tech Associate,9397053447,narendra.1392@smart.edu
