UMIS number,studentID,name,dob,district,block,college_name,degree,department,year_of_passing,cgpa,skills,swayam_course,naan_mudhalvan_course,certifications,internships,extra_curricular_activities,sports,predicted_academic_job_role,predicted_skill_job_role
5649823678,TN-STU-2022-02725,Yazhan Arumugam,2006-02-16,Madurai,Ambur,Government College of Engineering Tirunelveli,B.Tech,Civil Engineering,2026.0,6.1,"STAAD Pro, Soil Testing, Site Supervision",,Smart Cities,,TNHB,Green Campus Initiative,Volleyball,Trainee Structural Engineer,Associate Construction Specialist
6849503124,TN-STU-2021-02726,Udhaya S.,2005-02-15,Madurai,Ambur,SSN College of Engineering,B.Tech,Computer Science,2024.0,6.9,"SQL, DSA, Machine Learning, Python, Data Analysis, Node.js",Cloud Computing Foundation,Blockchain,CISCO CCNA,Infosys,NSS,Football,Trainee Systems Architect,Certified Senior Cloud Engineer
4680100413,TN-STU-2020-02727,Indu K.,2001-12-01,Vellore,Tiruttani,PSG Tech,B.Tech,Electronics & Communication,2025.0,6.1,"Circuit Design, IoT, PCB Design, Embedded Systems",,Robotics & PLC,VLSI Design Certified,,Ham Radio,Table Tennis,Trainee Telecom Engineer,Certified IoT Specialist
3125978974,TN-STU-2020-02728,Geetha Loganathan,2008-02-17,Coimbatore,Nannilam,Annamalai University,M.A.,Tamil,2024.0,7.3,"Journalism, Research Writing, Tamil Literature",,,Tamil Pandit Certification,,,Chess,Junior Editor,Certified Journalist
8897608780,TN-STU-2020-02729,Prakash Velayudham,1999-08-13,Namakkal,Kanniyakumari,Agricultural College Madurai,M.Sc.,Agriculture,2025.0,9.3,"Organic Farming, Irrigation Management, Pest Management, Remote Sensing, Soil Science, Crop Science",Agroforestry,AgriTech Tools,Agri-Business Management,NGOs,Green Brigade,,Junior Agri Extension Officer,Certified Senior Agri-Business Advisor
6554488855,TN-STU-2021-02730,Chandini Vijaykumar,2005-07-09,Madurai,Uthiramerur,PSG IMS & Research,M.Sc.,Nursing,2023.0,6.5,"ICU Management, Emergency Response, Surgical Assistance, Medication Administration, Vital Signs Monitoring, Medical Terminology, Anatomy",,Infection Control,BLS/ACLS Certified,Specialty Clinics,Blood Donation,Kabaddi,Trainee Pediatric Nurse,Certified Senior Certified Nurse
9123054228,TN-STU-2021-02731,Kamali R.,2001-02-20,Thoothukudi,Avadi,Sastra University Law School,LL.B.,Law,2023.0,7.8,"Legal Research, Intellectual Property, Contract Negotiation, Litigation Support",,Corporate Drafting,Cyber Law Cert,Human Rights NGOs,Debate,,Junior Junior Advocate,Certified Senior Corporate Lawyer
2088553100,TN-STU-2022-02732,Swetha Prabhu,2005-08-11,Salem,Thiruvallur,VISTAS Chennai,BBA,Business Administration,2026.0,6.9,"HR Management, Leadership, Operations Planning, CRM",Strategic Management,Digital Marketing,,Consumer Goods Companies,Entrepreneurship Cell,Badminton,Trainee Marketing Coordinator,Associate HR Consultant
2854361622,TN-STU-2020-02733,Ezhil Jagadeesan,2008-10-16,Namakkal,Ambur,SSN College of Engineering,MCA,Computer Science,2024.0,8.9,"Machine Learning, Cloud Computing, Data Analysis, Java, DSA, Node.js",,,CISCO CCNA,Tech Startups,Coding Clubs,Cricket,Junior Data Analyst,Certified Senior Cloud Engineer
9275633463,TN-STU-2020-02734,Nayagi Murugesan,2002-01-04,Kallakurichi,Thiruthuraipoondi,Kongu Engineering College,M.E.,Civil Engineering,2025.0,10.0,"Surveying, Soil Testing, STAAD Pro, Quantity Estimation",Environmental Engineering,Smart Cities,,L&T Construction,Green Campus Initiative,Kabaddi,Junior Project Coordinator,Associate Construction Specialist
1337468871,TN-STU-2022-02735,Nayagi Suresh,2007-08-30,Tiruchirappalli,Thiruverambur,Bharathidasan University,B.A.,Tamil,2026.0,7.9,"Creative Writing, Translation, Research Writing, Public Speaking, Journalism, Tamil Literature, Grammar",Epigraphy,,,,Literary Club,Kabaddi,Junior Editor,Junior Digital Editor
9930057696,TN-STU-2021-02736,Gautham Yogeswaran,2008-11-22,Vellore,Jolarpet,Anna University,MCA,Computer Science,2026.0,7.0,"SQL, Python, Data Analysis, Flutter, Machine Learning",,Full Stack Development,,TCS,NSS,,Junior Software Engineer,Associate Data Scientist
3620371868,TN-STU-2022-02737,Vidhya Mani,2001-12-24,Salem,Thiruvarur,Government College of Fine Arts Chennai,M.F.A.,Fine Arts,2024.0,6.4,"Art History, Ceramics, Photography, Painting, Graphic Design, Digital Illustration, Portfolio Building",,Graphic Design Tools,Photography Certification,Design Firms,Art Exhibition,Yoga,Trainee Illustrator,Certified Senior Animation Artist
5836162638,TN-STU-2023-02738,Amutha Marimuthu,2003-02-05,Erode,Poonamallee,TNAU Coimbatore,B.Sc.,Agriculture,2024.0,6.2,"Pest Management, Greenhouse Management, Remote Sensing, Organic Farming",,Drone Farming,Drone Operator License,NGOs,NSS,Kho-Kho,Trainee Agronomist,Certified Senior Agri-Business Advisor
9927594570,TN-STU-2020-02739,Yamuna Ramesh,2006-03-31,Kallakurichi,Nannilam,Alagappa University,B.A.,English,2023.0,6.4,"IELTS Coaching, SEO Writing, Public Speaking, Literature Analysis, Linguistics, Phonetics, Proofreading",,,Copywriting Proficiency,,Literary Society,Tennis,Trainee Editorial Assistant,Certified Corporate Trainer
9255201785,TN-STU-2022-02740,Palanisamy V.,2005-12-12,Salem,Avadi,Mother Teresa Womens University,B.A.,Tamil,2024.0,6.6,"Journalism, Grammar, Public Speaking, Tamil Literature",,,,Publishing House,Cultural Events,Kabaddi,Trainee Language Expert,Associate Tamil Content Specialist
6763936558,TN-STU-2020-02741,Ganesh Arumugam,2004-01-16,Vellore,Thiruvallur,VISTAS Chennai,BBA,Business Administration,2026.0,6.8,"Strategic Planning, HR Management, Leadership, Business Analytics, Marketing Research, CRM, Operations Planning",Marketing Research,CRM Specialist,Digital Marketing Expert,,Marketing Club,,Trainee Marketing Coordinator,Certified Digital Marketer
4567633861,TN-STU-2020-02742,Preethi V.,2008-03-06,Tirunelveli,Thiruthuraipoondi,Kongu Engineering College,B.Tech,Civil Engineering,2025.0,8.1,"STAAD Pro, AutoCAD, Site Supervision, Project Management, Soil Testing, Surveying, Structural Analysis",Environmental Engineering,,STAAD Pro Certified,Government PWD,ASCE Chapter,,Junior Site Engineer,Certified Senior BIM Associate
9049737799,TN-STU-2021-02743,Vidhya Udhayam,2002-10-07,Madurai,Avadi,Mother Teresa Womens University,B.A.,Tamil,2025.0,7.6,"Journalism, Tamil Literature, Editing, Translation, Research Writing",Classical Tamil,E-Media,,School,Debate,Kabaddi,Junior Editor,Associate Tamil Content Specialist
1825784607,TN-STU-2023-02744,Ponnan Palani,2001-05-04,Namakkal,Tiruttani,PSG Tech,B.E.,Electronics & Communication,2026.0,6.6,"PCB Design, VLSI, Embedded Systems",Microcontrollers,,National Instruments LabVIEW,Electronics SMEs,Electronics Fest,Table Tennis,Trainee Telecom Engineer,Certified Senior Embedded Developer
8959573210,TN-STU-2021-02745,Deepak M.,2002-06-29,Thoothukudi,Thiruvallur,VIT Vellore,B.Tech,Computer Science,2024.0,8.1,"Machine Learning, Python, SQL, DevOps",Operating Systems,Data Analytics with Python,Google Data Analytics,,NSS,,Junior Software Engineer,Certified Cybersecurity Analyst
7518997314,TN-STU-2023-02746,Balaji Krishnan,2008-10-21,Coimbatore,Nannilam,Annamalai University,B.A.,Tamil,2025.0,9.3,"Editing, Journalism, Grammar, Creative Writing, Translation, Tamil Literature",History of Tamil Literature,,Translator Certification,,Literary Club,Kabaddi,Junior Content Developer,Certified Journalist
3722559561,TN-STU-2021-02747,Abirami Loganathan,2006-06-03,Thanjavur,Vilavancode,CEG Anna University,B.E.,Electronics & Communication,2024.0,9.4,"Signal Processing, PCB Design, Embedded Systems, MATLAB, VLSI, Communication Protocols",Digital Electronics,IoT & Automation,IoT Foundation,BSNL,Ham Radio,Cricket,Junior Electronics Engineer,Certified Senior Embedded Developer
7025492876,TN-STU-2023-02748,Mani Yogeswaran,2005-05-06,Thanjavur,Thiruvallur,VISTAS Chennai,MBA,Business Administration,2026.0,9.9,"HR Management, Strategic Planning, Supply Chain, Leadership, Operations Planning",,Business Analytics,Digital Marketing Expert,,Marketing Club,Badminton,Junior HR Executive,Certified Digital Marketer
6969467004,TN-STU-2023-02749,Babu Y.,2001-02-16,Tirunelveli,Kanniyakumari,Government College of Fine Arts Kumbakonam,B.F.A.,Fine Arts,2024.0,6.5,"Portfolio Building, Painting, Photography, Ceramics, Art History, Graphic Design, Digital Illustration",Indian Art Traditions,Graphic Design Tools,,Animation Studios,,Yoga,Trainee Illustrator,Associate Digital Illustrator
4142311940,TN-STU-2023-02750,Girish U.,2004-09-22,Madurai,Avadi,TA PAS College,M.A.,English,2026.0,6.0,"Proofreading, Public Speaking, SEO Writing, Linguistics, IELTS Coaching",,,HubSpot Content Marketing,Digital Marketing Agency,NCC,Tennis,Trainee Editorial Assistant,Certified Senior Copywriter
6998958950,TN-STU-2020-02751,Bharathi M.,2001-01-13,Vellore,Thiruthuraipoondi,Kongu Engineering College,M.E.,Civil Engineering,2025.0,9.8,"Soil Testing, Structural Analysis, Site Supervision",Structural Engineering,Smart Cities,AutoCAD Civil 3D,,NSS,Kabaddi,Junior Project Coordinator,Certified CAD Civil Engineer
1928426276,TN-STU-2022-02752,Thendral I.,2006-06-23,Erode,Uthiramerur,PSG IMS & Research,M.Sc.,Nursing,2023.0,8.1,"Surgical Assistance, Emergency Response, Anatomy, Medication Administration, Patient Care, Vital Signs Monitoring, Medical Terminology",Medical Microbiology,Clinical Documentation,Registered Nurse (RN),Community Health Centres,,Kho-Kho,Junior ICU Nurse,Certified Senior Certified Nurse
2858626620,TN-STU-2021-02753,Nandhini Balan,2002-01-23,Erode,Thiruvallur,VIT Vellore,MCA,Computer Science,2025.0,6.6,"Data Analysis, Node.js, DevOps, DSA, React",,,Oracle Java Certified,Local Tech Solutions,Coding Clubs,,Trainee Systems Architect,Certified Senior Cloud Engineer
3557273028,TN-STU-2023-02754,Swetha Sekar,2001-05-23,Tiruchirappalli,Avadi,TA PAS College,B.A.,English,2024.0,6.5,"IELTS Coaching, Public Speaking, SEO Writing",,Business English,Copywriting Proficiency,,Debate,Tennis,Trainee Editorial Assistant,Certified Corporate Trainer
9533649927,TN-STU-2023-02755,Thendral Mohan,2001-03-27,Madurai,Kanniyakumari,Government College of Fine Arts Kumbakonam,B.F.A.,Fine Arts,2023.0,6.6,"Art History, Digital Illustration, Painting, Graphic Design, Sculpture, Photography",,Event Design,,Animation Studios,,Kho-Kho,Trainee Illustrator,Associate Digital Illustrator
2472460891,TN-STU-2023-02756,Yazhini S.,2002-01-03,Chennai,Ambur,Government College of Engineering Tirunelveli,B.E.,Civil Engineering,2023.0,9.7,"STAAD Pro, Project Management, Quantity Estimation, Soil Testing, Structural Analysis, Surveying, AutoCAD",Building Materials,Geo-Technical Analysis,Project Management Basics,Government PWD,Green Campus Initiative,Cricket,Junior Project Coordinator,Certified Senior BIM Associate
9134679349,TN-STU-2022-02757,Omprakash Sundar,1999-04-27,Thanjavur,Nagercoil,SIET College,B.Sc.,Psychology,2024.0,9.3,"Mental Health Assessment, Psychometrics, Report Writing, Counseling, Social Work",Abnormal Psychology,,CBT Practitioner,Schools,YRC,Chess,Junior Behavioral Analyst,Certified Senior Certified Counselor
1500705087,TN-STU-2020-02758,Veda Udhayam,2002-06-29,Kallakurichi,Mannargudi,Loyola College,MBA,Business Administration,2026.0,6.2,"Operations Planning, Strategic Planning, CRM",Marketing Research,CRM Specialist,,,,,Trainee Marketing Coordinator,Junior Business Development Associate
4744741920,TN-STU-2020-02759,Balaji I.,2006-04-25,Tiruchirappalli,Jolarpet,Coimbatore Institute of Tech,B.E.,Electronics & Communication,2023.0,9.5,"IoT, Signal Processing, Circuit Design, Embedded Systems, VLSI, PCB Design",,Robotics & PLC,,Telecom Companies,,Chess,Junior Electronics Engineer,Associate PCB Design Expert
3880860280,TN-STU-2023-02760,Keerthana M.,2002-01-14,Madurai,Mannargudi,Loyola College,MBA,Business Administration,2025.0,9.4,"Business Analytics, Leadership, Strategic Planning, Marketing Research, Supply Chain, HR Management, Operations Planning",Organizational Behavior,Digital Marketing,Six Sigma Green Belt,Logistics Companies,Entrepreneurship Cell,Badminton,Junior HR Executive,Certified Senior Business Development Associate
3146433033,TN-STU-2023-02761,Anbarasan Ramesh,2000-08-21,Tirunelveli,Palayamkottai,Government College of Engineering Salem,B.Tech,Mechanical Engineering,2024.0,8.5,"Thermodynamics, MATLAB, AutoCAD, Quality Control, SolidWorks",,,Lean Manufacturing,BHEL,Make in India Hackathon,Athletics,Junior Design Engineer,Certified Senior CAD Design Specialist
7472119503,TN-STU-2023-02762,Nayagi Jayaraman,2007-03-21,Tiruchirappalli,Avadi,TA PAS College,M.A.,English,2023.0,6.3,"IELTS Coaching, Phonetics, Literature Analysis, Linguistics, SEO Writing, Copywriting, Public Speaking",,Soft Skills,,,Debate,Football,Trainee Editorial Assistant,Junior Copywriter
7071619980,TN-STU-2023-02763,Chandini Krishnan,2004-11-27,Erode,Vilavancode,CEG Anna University,M.E.,Electronics & Communication,2024.0,7.9,"Communication Protocols, IoT, Embedded Systems, VLSI, PCB Design, Circuit Design, MATLAB",,PCB Design Fundamentals,VLSI Design Certified,,,,Junior Embedded Systems Engineer,Certified IoT Specialist
4141878796,TN-STU-2021-02764,Jeeva Arumugam,2007-10-19,Thoothukudi,Mannargudi,Loyola College,MBA,Business Administration,2026.0,7.8,"Leadership, Supply Chain, Business Analytics, Strategic Planning",Strategic Management,Retail Management,,,B-Plan Competitions,Football,Junior Management Trainee,Junior Business Development Associate
9902515391,TN-STU-2023-02765,Yamini Yuvraj,2002-08-11,Thoothukudi,Colachal,NIT Trichy,MCA,Computer Science,2026.0,6.7,"Python, Cloud Computing, Data Analysis, Machine Learning",Data Structures,Blockchain,Azure Fundamentals,Local Tech Solutions,NSS,Table Tennis,Trainee Systems Architect,Certified Senior Cloud Engineer
2678240130,TN-STU-2020-02766,Bharathi Krishnan,2001-05-05,Erode,Poonamallee,Hindustan College,BBA,Business Administration,2024.0,7.3,"Strategic Planning, Supply Chain, HR Management",Organizational Behavior,Business Analytics,Digital Marketing Expert,Consumer Goods Companies,,,Junior Management Trainee,Certified Senior Business Development Associate
7601838588,TN-STU-2021-02767,Fazil Dhandapani,2004-08-03,Namakkal,Thiruvallur,Manipal Institute,B.E.,Biomedical Engineering,2024.0,7.2,"AutoCAD, Product Testing, Anatomy Knowledge, Clinical Trials Support, Signal Processing",,Research Documentation,,Research Labs,Robotics,,Junior Clinical Engineer,Associate Health-Tech Developer
3578482995,TN-STU-2021-02768,Jeeva R.,2005-12-10,Madurai,Thiruverambur,Bharathidasan University,B.A.,Tamil,2024.0,8.8,"Translation, Grammar, Public Speaking",Epigraphy,,Tamil Pandit Certification,,,Badminton,Junior Content Developer,Certified Journalist
5160172369,TN-STU-2021-02769,Maran N.,2005-10-09,Madurai,Thiruverambur,Bharathidasan University,M.A.,Tamil,2026.0,7.9,"Public Speaking, Translation, Creative Writing, Editing, Journalism, Tamil Literature, Grammar",,Tamil Computing,Tamil Pandit Certification,,Debate,Chess,Junior Editor,Certified Journalist
9237011598,TN-STU-2023-02770,Thamizhini Chinnasamy,2007-05-19,Salem,Thiruvallur,Manipal Institute,B.Tech,Biomedical Engineering,2023.0,7.8,"Product Testing, Medical Device Design, Clinical Trials Support, Biomechanics, Anatomy Knowledge, Signal Processing",Biomedical Signals,,,Medical Device Startups,,Badminton,Junior Clinical Engineer,Associate Health-Tech Developer
1321113391,TN-STU-2023-02771,Sanjay Ganesan,2006-11-04,Erode,Gummidipoondi,SRM University,B.E.,Biomedical Engineering,2024.0,7.0,"Signal Processing, Anatomy Knowledge, Clinical Trials Support, MATLAB",,,,,Robotics,,Junior Clinical Engineer,Junior Biomedical Tech Associate
3789750318,TN-STU-2020-02772,Indu A.,1999-09-21,Chennai,Colachal,Thiagarajar CE,M.E.,Mechanical Engineering,2023.0,6.0,"Manufacturing Processes, SolidWorks, Lean Manufacturing, Quality Control, Thermodynamics, CNC Programming",,Green Manufacturing,,Ashok Leyland,SAE Collegiate Club,Cricket,Trainee Production Engineer,Associate Manufacturing Associate
1530957399,TN-STU-2021-02773,Iniya Ramesh,2002-06-11,Thanjavur,Pattukkottai,Government College of Engineering Salem,B.Tech,Mechanical Engineering,2024.0,9.1,"Manufacturing Processes, MATLAB, CNC Programming, Lean Manufacturing, AutoCAD",Engineering Design,,CREO Designer,,Make in India Hackathon,Athletics,Junior Design Engineer,Certified EV Systems Engineer
1666991690,TN-STU-2021-02774,Yavan S.,2004-09-07,Kallakurichi,Vilavancode,CEG Anna University,B.E.,Electronics & Communication,2023.0,9.8,"MATLAB, Signal Processing, Circuit Design",,IoT & Automation,VLSI Design Certified,Electronics SMEs,Electronics Fest,,Junior Electronics Engineer,Certified Senior Embedded Developer
1389579725,TN-STU-2021-02775,Yavan Sekar,2008-07-14,Thanjavur,Ambur,SSN College of Engineering,B.E.,Computer Science,2025.0,9.8,"React, Java, Python, Data Analysis, SQL, DSA",,Blockchain,Google Data Analytics,TCS,,Table Tennis,Junior Data Analyst,Certified Senior Cloud Engineer
7919113337,TN-STU-2020-02776,Vimal Ramasamy,2006-09-26,Tirunelveli,Kanniyakumari,Government College of Fine Arts Kumbakonam,B.F.A.,Fine Arts,2026.0,6.8,"Art History, Sculpture, Graphic Design",Modern Art,Visual Communication,,,Art Exhibition,Yoga,Trainee Illustrator,Junior Animation Artist
9791659006,TN-STU-2020-02777,Vetri Ethiraj,2004-11-29,Namakkal,Nannilam,Alagappa University,B.A.,English,2024.0,6.3,"Public Speaking, Linguistics, IELTS Coaching, Literature Analysis, Proofreading, Phonetics",Modern Linguistics,Professional Communication,TEFL,Corporate Training,Literary Society,,Trainee Editorial Assistant,Certified Senior Copywriter
9200916086,TN-STU-2020-02778,Mythili Rajan,2008-03-29,Tiruchirappalli,Kancheepuram,SASTRA University,M.E.,Biomedical Engineering,2023.0,8.3,"Clinical Trials Support, Anatomy Knowledge, Product Testing",,,Medical Coding,,IEEE EMBS,Athletics,Junior Clinical Engineer,Certified Clinical Systems Engineer
6509675564,TN-STU-2021-02779,Jeeva Natesan,2008-06-01,Chennai,Tiruttani,PSG Tech,M.E.,Electronics & Communication,2026.0,8.1,"IoT, VLSI, Communication Protocols, MATLAB",,,National Instruments LabVIEW,Electronics SMEs,IEEE Club,Table Tennis,Junior Embedded Systems Engineer,Certified Senior Embedded Developer
4961544796,TN-STU-2020-02780,Sneha Ganesan,2001-06-02,Tirunelveli,Mannargudi,Loyola College,BBA,Business Administration,2024.0,7.5,"CRM, Strategic Planning, HR Management, Business Analytics",Marketing Research,Business Analytics,PMP Foundation,Logistics Companies,YRC,Badminton,Junior Management Trainee,Certified Senior Business Development Associate
1866207596,TN-STU-2023-02781,Chandini Sundar,2008-07-25,Chennai,Kancheepuram,Anna University Regional Campus,B.Tech,Civil Engineering,2023.0,7.9,"Project Management, Quantity Estimation, Structural Analysis, Site Supervision",,Project Estimation,,L&T Construction,,,Junior Site Engineer,Associate Construction Specialist
8148197295,TN-STU-2023-02782,Akshaya B.,2007-03-06,Thanjavur,Ambur,Patrician College,M.Com,Commerce,2024.0,7.2,"Accounting, Tally ERP, Cost Accounting, Taxation",Corporate Finance,,,,Finance Club,,Junior Audit Assistant,Junior Banking Associate
5803029636,TN-STU-2022-02783,Yavan P.,2001-08-25,Tiruchirappalli,Kanniyakumari,Government College of Fine Arts Kumbakonam,B.F.A.,Fine Arts,2024.0,8.3,"Painting, Ceramics, Portfolio Building, Art History, Digital Illustration, Photography, Graphic Design",,,Visual Art Diploma,Ad Agencies,NSS,Chess,Junior Graphic Designer,Certified Senior Animation Artist
7572851443,TN-STU-2022-02784,Dhiyan Suresh,2002-10-09,Vellore,Poonamallee,Hindustan College,BBA,Business Administration,2024.0,6.8,"Marketing Research, Operations Planning, HR Management",,,HR Generalist,Consumer Goods Companies,,Football,Trainee Marketing Coordinator,Certified Senior Business Development Associate
1280540492,TN-STU-2021-02785,Mutharasan Balaji,2007-09-22,Namakkal,Colachal,NIT Trichy,MCA,Computer Science,2023.0,9.4,"Flutter, Machine Learning, DevOps, Java",Data Structures,Data Analytics with Python,AWS Practitioner,,Coding Clubs,Cricket,Junior Data Analyst,Certified Cybersecurity Analyst
8425794441,TN-STU-2021-02786,Dhivakar Ramasamy,2002-01-29,Chennai,Nannilam,Alagappa University,M.A.,English,2023.0,8.6,"Copywriting, Public Speaking, Linguistics",,,,Magazines,Elocution Club,Football,Junior Communications Associate,Associate IELTS Trainer
2848615498,TN-STU-2021-02787,Thendral Rajan,2000-01-26,Tiruchirappalli,Thiruvarur,Government College of Fine Arts Chennai,B.F.A.,Fine Arts,2026.0,8.0,"Sculpture, Photography, Digital Illustration, Graphic Design",,Event Design,Adobe Creative Suite,Ad Agencies,Cultural Fest,Badminton,Junior Graphic Designer,Certified Senior Animation Artist
5873604230,TN-STU-2021-02788,Kavin A.,2004-07-16,Namakkal,Avadi,Mother Teresa Womens University,B.A.,Tamil,2024.0,8.1,"Tamil Literature, Creative Writing, Research Writing",,E-Media,E-Publishing,News Agency,,,Junior Editor,Certified Senior Digital Editor
8398113084,TN-STU-2021-02789,Vidhya Sivakumar,2001-07-26,Tiruchirappalli,Jolarpet,Anna University,B.Tech,Computer Science,2026.0,7.9,"Java, Flutter, Cloud Computing, SQL",,,CISCO CCNA,Local Tech Solutions,Hackathons,Table Tennis,Junior Software Engineer,Certified Senior Cloud Engineer
9054471490,TN-STU-2023-02790,Aadesh Sekar,2004-04-02,Kallakurichi,Vilavancode,CEG Anna University,B.Tech,Electronics & Communication,2026.0,9.9,"Embedded Systems, Circuit Design, Communication Protocols, MATLAB",Digital Electronics,Robotics & PLC,,,NCC,Chess,Junior Electronics Engineer,Junior Embedded Developer
4177201364,TN-STU-2020-02791,Shanti P.,2002-03-31,Salem,Kanniyakumari,Government College of Fine Arts Kumbakonam,B.F.A.,Fine Arts,2025.0,9.6,"Digital Illustration, Ceramics, Photography, Art History, Portfolio Building, Sculpture, Graphic Design",Photography Basics,Graphic Design Tools,,Design Firms,Cultural Fest,Yoga,Junior Art Educator,Associate Digital Illustrator
3617063809,TN-STU-2021-02792,Madhumitha C.,1999-03-24,Chennai,Nagercoil,SIET College,B.Sc.,Psychology,2024.0,9.8,"Child Psychology, Counseling, Psychometrics",Counseling Theories,Child Protection,Art Therapy,Schools,Peer Counseling,,Junior Behavioral Analyst,Certified Senior Certified Counselor
1722488203,TN-STU-2023-02793,Bakya Natesan,2001-05-30,Thanjavur,Ambur,SSN College of Engineering,B.Tech,Computer Science,2023.0,8.1,"Cloud Computing, DSA, Node.js, Machine Learning",Data Structures,Full Stack Development,,Wipro,Coding Clubs,Football,Junior Software Engineer,Associate Data Scientist
3397957639,TN-STU-2023-02794,Chandru Govindan,1999-11-25,Salem,Gummidipoondi,SRM University,B.E.,Biomedical Engineering,2025.0,9.2,"Medical Device Design, MATLAB, Signal Processing, Anatomy Knowledge, Product Testing, AutoCAD, Clinical Trials Support",Clinical Engineering,Healthcare IoT,Medical Coding,Medical Device Startups,Robotics,Table Tennis,Junior Biomedical Engineer,Certified Senior Biomedical Tech Associate
8803189073,TN-STU-2021-02795,Babu Subramanian,2007-07-14,Kallakurichi,Gummidipoondi,SRM University,B.Tech,Biomedical Engineering,2024.0,6.3,"Biomechanics, Signal Processing, Clinical Trials Support, Product Testing",Medical Imaging,Healthcare IoT,AutoCAD Certified,Apollo Hospitals,Robotics,,Trainee Medical Device Tester,Certified Senior Biomedical Tech Associate
8277371116,TN-STU-2020-02796,Janani C.,2000-10-17,Vellore,Poonamallee,Stella Maris College,M.Sc.,Psychology,2024.0,7.6,"Counseling, Child Psychology, Group Therapy Facilitation, Psychometrics, Report Writing",Abnormal Psychology,,Counseling Psychologist Cert,,Peer Counseling,Chess,Junior Psychological Counselor,Certified HR People Strategy
8807205663,TN-STU-2020-02797,Velu Linga,2001-11-02,Salem,Jolarpet,Coimbatore Institute of Tech,M.E.,Electronics & Communication,2024.0,9.0,"Communication Protocols, MATLAB, Embedded Systems, PCB Design",Digital Electronics,,,Electronics SMEs,Ham Radio,Cricket,Junior Electronics Engineer,Associate PCB Design Expert
9873341361,TN-STU-2021-02798,Bakya Eswaran,2008-04-09,Madurai,Killiyoor,Madurai Kamaraj University,M.A.,English,2024.0,6.4,"IELTS Coaching, Linguistics, Copywriting, Public Speaking, Phonetics",Spoken English,Business English,TESOL,,Literary Society,Football,Trainee Editorial Assistant,Certified Corporate Trainer
6678272594,TN-STU-2023-02799,Vimal K.,2001-02-21,Thanjavur,Nannilam,Annamalai University,B.A.,Tamil,2025.0,8.9,"Creative Writing, Translation, Tamil Literature, Public Speaking, Grammar, Research Writing",Tamil Grammar,Digital Content Creation,Translator Certification,,NSS,Athletics,Junior Content Developer,Certified Journalist
8019000610,TN-STU-2020-02800,Ganesh Eswaran,2006-03-01,Thanjavur,Killiyoor,Sri Ramachandra University,B.Sc.,Nursing,2024.0,8.8,"Anatomy, Vital Signs Monitoring, ICU Management, Surgical Assistance, Medical Terminology",Medical Microbiology,Infection Control,,,,Athletics,Junior Community Health Worker,Junior Certified Nurse
6269576833,TN-STU-2021-02801,Amutha Velayudham,2003-08-29,Thanjavur,Uthiramerur,PSG IMS & Research,B.Sc.,Nursing,2026.0,6.7,"Emergency Response, Surgical Assistance, ICU Management, Vital Signs Monitoring",Basic Life Support,Clinical Documentation,Registered Nurse (RN),,First Aid Camp,,Trainee Pediatric Nurse,Certified Clinical Nurse Specialist
4460724403,TN-STU-2022-02802,Azlagan K.,2000-12-04,Thoothukudi,Palladam,KG College of Nursing,B.Sc.,Nursing,2024.0,6.4,"Surgical Assistance, ICU Management, Vital Signs Monitoring",,Infection Control,Midwifery Cert,Community Health Centres,NCC,Volleyball,Trainee Pediatric Nurse,Certified Senior Certified Nurse
6154335780,TN-STU-2023-02803,Pranesh A.,2004-07-02,Salem,Kancheepuram,Anna University Regional Campus,B.E.,Civil Engineering,2026.0,6.1,"Surveying, Structural Analysis, AutoCAD, Site Supervision, Soil Testing, STAAD Pro, Project Management",,Building Information Modelling,,,NSS,Kabaddi,Trainee Structural Engineer,Junior BIM Associate
5024414345,TN-STU-2022-02804,Yogesh Balaji,2001-06-15,Erode,Thiruthuraipoondi,Coimbatore Institute of Technology,B.E.,Mechanical Engineering,2023.0,8.0,"Manufacturing Processes, Quality Control, Thermodynamics, SolidWorks, Lean Manufacturing",Engineering Design,Industry 4.0,,,,Football,Junior Maintenance Engineer,Junior CAD Design Specialist
1385763989,TN-STU-2023-02805,Anbu Mohan,1999-09-25,Erode,Avadi,Sastra University Law School,LL.B.,Law,2026.0,7.4,"Corporate Law, Legal Research, Intellectual Property, Legal Drafting",,Court Procedures,IP Law Cert,,Legal Aid Club,Chess,Junior Junior Advocate,Certified Dispute Resolution Expert
1765773273,TN-STU-2022-02806,Indira C.,2002-10-31,Salem,Poonamallee,Stella Maris College,M.Sc.,Psychology,2026.0,9.8,"Group Therapy Facilitation, Child Psychology, Mental Health Assessment",Positive Psychology,Emotional Intelligence,HR Analytics,NGOs,,Kho-Kho,Junior Behavioral Analyst,Certified Senior Certified Counselor
1948262046,TN-STU-2020-02807,Laksha Selvaraj,2004-03-22,Erode,Kancheepuram,Anna University Regional Campus,M.E.,Civil Engineering,2024.0,10.0,"Site Supervision, Surveying, STAAD Pro, Quantity Estimation, Soil Testing, Structural Analysis, Project Management",Environmental Engineering,Building Information Modelling,,Government PWD,ASCE Chapter,Cricket,Junior Project Coordinator,Associate Construction Specialist
